Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration(minutes),Total_Stops,Additional_Info,Price,type
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,0 days 22:20:00,01:10 22 Mar,170,non-stop,No info,3897,economy class
Air India,1/05/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,0 days 05:50:00,13:15,445,2 stops,No info,7662,business class
Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,0 days 09:25:00,04:25 10 Jun,1140,2 stops,No info,13882,business class
IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,0 days 18:05:00,23:30,325,1 stop,No info,6218,business class
IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,0 days 16:50:00,21:35,285,1 stop,No info,13302,business class
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,0 days 09:00:00,11:25,145,non-stop,No info,3873,economy class
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,0 days 18:55:00,10:25 13 Mar,930,1 stop,In-flight meal not included,11087,business class
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,0 days 08:00:00,05:05 02 Mar,1265,1 stop,No info,22270,business class
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,0 days 08:55:00,10:25 13 Mar,1530,1 stop,In-flight meal not included,11087,business class
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,0 days 11:25:00,19:15,470,1 stop,No info,8625,economy class
Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,0 days 09:45:00,23:00,795,1 stop,No info,8907,business class
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,0 days 20:20:00,22:55,155,non-stop,No info,4174,economy class
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,0 days 11:40:00,13:55,135,non-stop,No info,4667,economy class
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,0 days 21:10:00,09:20 10 May,730,1 stop,In-flight meal not included,9663,economy class
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,0 days 17:15:00,19:50,155,non-stop,No info,4804,economy class
Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,0 days 16:40:00,19:15 04 Mar,1595,2 stops,No info,14011,business class
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,0 days 08:45:00,13:15,270,1 stop,No info,5830,business class
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,0 days 14:00:00,12:35 13 Jun,1355,1 stop,In-flight meal not included,10262,business class
Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,0 days 20:15:00,19:15 13 Jun,1380,2 stops,No info,13381,business class
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,0 days 16:00:00,12:35 28 May,1235,1 stop,In-flight meal not included,12898,business class
GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,0 days 14:10:00,19:20,310,1 stop,No info,19495,business class
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,0 days 22:00:00,13:20 19 Mar,920,1 stop,No info,6955,economy class
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,0 days 04:00:00,06:50,170,non-stop,No info,3943,economy class
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,0 days 18:55:00,21:50,175,non-stop,No info,4823,economy class
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,0 days 18:55:00,08:15 07 May,800,1 stop,In-flight meal not included,7757,economy class
Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,0 days 21:25:00,12:35 10 Jun,910,2 stops,No info,13292,business class
